shot_num,distance_to_goal,play_pattern,duration,shot_speed,angle_to_goal,players_between_goal,players_within_1,players_within_5,players_within_10,opponents_within_5,teammates_within_5,shot_taker_type,shot_technique,shot_body_part,goalkeeper_in_the_way,one_on_one,pass_length,pass_angle,pass_speed,goal
0,38.38137569186389,Open Play,1.5165,25.309182783952448,0.2887777945547858,1,1,1,4,1,0,forward,Normal,Right Foot,1,0,14.310835,1.1071488,11.034860766071255,1
1,21.18962010041709,Open Play,0.150869,140.4504576845945,1.07080109677507,1,0,1,3,1,0,forward,Normal,Right Foot,1,0,18.445868,0.57296616,16.217187340986907,0
2,8.860022573334673,Open Play,0.670734,13.209443047966365,0.946160904023284,1,0,1,7,1,0,midfield,Normal,Head,1,1,45.20011,0.6457135,22.34863318632073,0
3,14.557815770231468,Open Play,0.1837,79.2477722930401,1.0217148679965962,2,0,3,5,3,0,forward,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
4,38.739772843939086,Open Play,1.453746,26.648240369321112,0.16167797551531388,1,0,0,4,0,0,midfield,Normal,Left Foot,1,0,9.613532,1.2424669,17.935526961956796,0
5,9.749871794028879,Open Play,0.145966,66.79549891090308,0.6893094478800817,1,0,0,6,0,0,midfield,Normal,Right Foot,1,0,10.592922,1.7033478,13.33944776231744,0
6,23.747420912595956,Open Play,1.0565,22.477445255651638,0.5976901368665483,3,0,3,6,2,1,midfield,Normal,Left Foot,1,0,34.535778,0.33640152,13.47478983516489,0
7,20.223253941935262,Open Play,0.613304,32.974273674939774,0.5590798535093615,3,0,0,2,0,0,midfield,Normal,Left Foot,1,0,24.845522,1.9894294,19.30035658532258,0
8,27.74617090699184,Open Play,0.2866,96.81148257847815,0.08642676367438346,1,0,3,7,2,1,midfield,Normal,Left Foot,1,0,8.980535,0.7775243,9.508070797297226,0
9,19.602295783912663,Open Play,0.185,105.9583555887171,0.8766268787507215,2,0,2,4,2,0,midfield,Normal,Left Foot,1,0,14.221462,1.3940874,13.252456301051321,0
10,13.008458786497341,Open Play,0.968867,13.426464918814801,1.1261166323985172,0,0,3,4,3,0,defender,Lob,Right Foot,0,0,7.7472577,0.41167134,10.094291357007881,1
11,10.300485425454466,Open Play,0.121373,84.86636587589058,1.1104060352640965,1,0,3,7,3,0,forward,Normal,Right Foot,1,0,19.043634,0.34832236,10.907356769155268,0
12,9.786214794291,Open Play,0.345652,28.31233377585259,1.4319888607122944,1,0,0,3,0,0,forward,Volley,Right Foot,1,0,38.33771,1.5264391,24.633422557241385,1
13,33.7249166047894,Open Play,1.328304,25.389456483447614,0.20254131203030573,1,0,1,1,1,0,midfield,Normal,Left Foot,1,0,18.069311,2.2464015,17.920747998683574,0
14,20.734753434752967,Open Play,0.592591,34.989990456744984,0.6964030915287726,2,0,0,5,0,0,midfield,Normal,Right Foot,1,0,7.44043,2.203545,9.681756792576845,0
15,23.2606964642076,Open Play,0.869244,26.759685961833043,0.49972536611489327,1,0,1,5,1,0,midfield,Normal,Right Foot,1,0,28.595453,1.2247143,15.578489215186805,0
16,11.800423721205945,Open Play,0.7093,16.636717497823128,0.5797892358807963,2,0,5,9,4,1,forward,Normal,Head,1,0,35.415817,1.8335813,19.451757937085038,0
17,30.419894805866775,Open Play,0.3068,99.15219949761008,0.1662153436767506,2,0,0,3,0,0,forward,Normal,Right Foot,1,0,9.80816,2.852089,6.732212140978371,0
18,27.36457564078054,Open Play,0.867379,31.548579848924795,0.26827360973939685,1,0,2,7,2,0,forward,Normal,Right Foot,1,0,27.162659,0.913305,28.5142028939501,0
19,28.52823163114041,Open Play,1.017383,28.040798431997008,0.46513349200831045,1,0,2,5,2,0,midfield,Normal,Right Foot,1,0,10.965857,1.7449403,7.033939943072614,0
20,13.892443989449804,Open Play,0.859299,16.167182772759894,0.8519663271732721,1,0,1,4,1,0,forward,Normal,Left Foot,1,1,19.3,0.0,11.457405758385276,0
21,18.87326150934173,Open Play,0.695778,27.125407111667414,0.9853062807741731,2,0,0,2,0,0,midfield,Volley,Right Foot,1,0,41.34731,1.7852681,19.965864824504692,0
22,20.525106577068,Open Play,0.1991,103.08943534438976,1.0847643974548002,2,0,1,3,1,0,midfield,Normal,Left Foot,1,0,26.019224,0.6819437,21.16635089399619,0
23,18.534832073693035,Open Play,1.048018,17.685604706878163,0.08454375551299813,1,0,2,5,2,0,midfield,Normal,Left Foot,1,0,-1.0,-1.0,-1.0,1
24,14.524462124292244,Open Play,0.810843,17.912792148778795,1.0419147760417717,1,0,1,3,1,0,midfield,Normal,Right Foot,1,0,22.165062,0.73113835,8.550676104699958,1
25,11.26454615153225,Open Play,0.0316,356.4729794788686,0.6747409422235526,2,0,1,3,1,0,forward,Normal,Left Foot,1,0,15.259095,1.7553391,22.16603086602263,0
26,6.109828148156055,Open Play,0.782968,7.803419996929702,0.8273902706188178,1,1,1,4,1,0,midfield,Diving Header,Head,1,0,32.481533,1.6416651,22.192872936115073,1
27,8.062257748298556,Open Play,0.686931,11.73663402626837,0.7717003900245824,1,0,1,5,1,0,forward,Normal,Head,1,0,19.693907,1.3245862,19.43541664601227,0
28,17.454512310574586,Open Play,0.66179,26.37469939191373,0.029231437372220323,1,0,0,2,0,0,forward,Normal,Right Foot,1,0,14.984325,0.9513226,13.501909944733459,0
29,9.433981132056601,Open Play,0.676429,13.946742573214044,0.06807645825799966,1,0,2,6,2,0,forward,Volley,Right Foot,1,0,10.387012,1.1545271,10.23048470369631,0
30,30.8084404019418,Open Play,2.153789,14.304298332818025,0.46088518508827364,4,0,1,3,1,0,midfield,Volley,Right Foot,1,0,-1.0,-1.0,-1.0,0
31,27.86000717874997,Open Play,1.011121,27.553583773603727,0.5176961394289431,1,0,3,6,2,1,midfield,Half Volley,Right Foot,1,0,-1.0,-1.0,-1.0,0
32,11.860860002546186,Open Play,0.6092,19.469566648959596,0.2329792390771027,1,0,2,6,2,0,midfield,Half Volley,Right Foot,1,0,21.100948,1.8640689,15.796487382848625,0
33,18.56582882609877,Open Play,0.6466,28.71300468001666,1.1402691319881355,1,0,1,2,1,0,forward,Normal,Left Foot,1,1,31.007418,0.5459504,10.031331828303102,0
